,count,duration,duration_bin,durations,type
6683,1,70 min,60 - 90,70.0,Movie
6685,1,102 min,95 - 120,102.0,Movie
6687,1,93 min,90 - 95,93.0,Movie
6688,1,92 min,90 - 95,92.0,Movie
6689,1,114 min,95 - 120,114.0,Movie
6692,1,104 min,95 - 120,104.0,Movie
6694,1,115 min,95 - 120,115.0,Movie
6696,1,85 min,60 - 90,85.0,Movie
6697,1,85 min,60 - 90,85.0,Movie
6698,1,138 min,120 - 150,138.0,Movie
6699,1,40 min,0 - 60,40.0,Movie
6702,1,59 min,0 - 60,59.0,Movie
6704,1,82 min,60 - 90,82.0,Movie
6705,1,107 min,95 - 120,107.0,Movie
6706,1,104 min,95 - 120,104.0,Movie
6708,1,90 min,90 - 95,90.0,Movie
6709,1,121 min,120 - 150,121.0,Movie
6712,1,90 min,90 - 95,90.0,Movie
6713,1,85 min,60 - 90,85.0,Movie
6714,1,99 min,95 - 120,99.0,Movie
6717,1,104 min,95 - 120,104.0,Movie
6719,1,126 min,120 - 150,126.0,Movie
6720,1,97 min,95 - 120,97.0,Movie
6722,1,91 min,90 - 95,91.0,Movie
6723,1,106 min,95 - 120,106.0,Movie
6724,1,95 min,95 - 120,95.0,Movie
6726,1,111 min,95 - 120,111.0,Movie
6728,1,106 min,95 - 120,106.0,Movie
6729,1,108 min,95 - 120,108.0,Movie
6730,1,84 min,60 - 90,84.0,Movie
6731,1,122 min,120 - 150,122.0,Movie
6732,1,111 min,95 - 120,111.0,Movie
6733,1,94 min,90 - 95,94.0,Movie
6734,1,123 min,120 - 150,123.0,Movie
6735,1,86 min,60 - 90,86.0,Movie
6737,1,95 min,95 - 120,95.0,Movie
6738,1,108 min,95 - 120,108.0,Movie
6740,1,94 min,90 - 95,94.0,Movie
6742,1,94 min,90 - 95,94.0,Movie
6743,1,87 min,60 - 90,87.0,Movie
6744,1,124 min,120 - 150,124.0,Movie
6745,1,141 min,120 - 150,141.0,Movie
6746,1,91 min,90 - 95,91.0,Movie
6747,1,93 min,90 - 95,93.0,Movie
6748,1,143 min,120 - 150,143.0,Movie
6750,1,148 min,120 - 150,148.0,Movie
6751,1,91 min,90 - 95,91.0,Movie
6752,1,103 min,95 - 120,103.0,Movie
6753,1,141 min,120 - 150,141.0,Movie
6755,1,110 min,95 - 120,110.0,Movie
6756,1,155 min,150  - 300,155.0,Movie
6757,1,93 min,90 - 95,93.0,Movie
6758,1,78 min,60 - 90,78.0,Movie
6759,1,118 min,95 - 120,118.0,Movie
6760,1,88 min,60 - 90,88.0,Movie
6761,1,89 min,60 - 90,89.0,Movie
6762,1,140 min,120 - 150,140.0,Movie
6763,1,94 min,90 - 95,94.0,Movie
6764,1,124 min,120 - 150,124.0,Movie
6767,1,110 min,95 - 120,110.0,Movie
6768,1,89 min,60 - 90,89.0,Movie
6769,1,100 min,95 - 120,100.0,Movie
6771,1,94 min,90 - 95,94.0,Movie
6772,1,96 min,95 - 120,96.0,Movie
6773,1,116 min,95 - 120,116.0,Movie
6774,1,92 min,90 - 95,92.0,Movie
6775,1,91 min,90 - 95,91.0,Movie
6776,1,111 min,95 - 120,111.0,Movie
6779,1,98 min,95 - 120,98.0,Movie
6780,1,102 min,95 - 120,102.0,Movie
6781,1,97 min,95 - 120,97.0,Movie
6783,1,125 min,120 - 150,125.0,Movie
6784,1,125 min,120 - 150,125.0,Movie
6785,1,132 min,120 - 150,132.0,Movie
6786,1,133 min,120 - 150,133.0,Movie
6789,1,76 min,60 - 90,76.0,Movie
6790,1,117 min,95 - 120,117.0,Movie
6791,1,90 min,90 - 95,90.0,Movie
6793,1,66 min,60 - 90,66.0,Movie
6797,1,105 min,95 - 120,105.0,Movie
6799,1,119 min,95 - 120,119.0,Movie
